id,name
1,1R
2,1C
3,1L
4,1B
5,2R
6,2C
7,2L
8,3R
9,3C
10,3L
11,4R
12,4C
13,4L
14,4B
15,CrossLCen
16,CrossRCen
17,CrossLCor
18,CrossRCor
19,Cross11m
20,CrossFarPost
21,CrossNearPost
22,CrossOnGK
23,CrossFarBrow
24,CrossNearBrow
25,CrossInFrontOf11m
